playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
roushed01,0,14,1967,68,2376,NULL,NULL,4683,0,6,NULL,NULL,31,True
ruelmu01,0,4,1467,4,1242,NULL,NULL,5368,0,8,NULL,NULL,86,False
schalra01,0,5,1763,11,1345,NULL,NULL,7168,0,12,NULL,NULL,61,True
schanwa01,0,3,1841,59,1506,NULL,NULL,5622,1,27,NULL,NULL,121,False
scottev01,0,2,1655,20,1455,NULL,NULL,3353,0,14,NULL,NULL,50,False
severha01,0,0,1392,17,1245,NULL,NULL,4714,0,7,NULL,NULL,44,False
seweljo01,0,8,1903,49,2226,NULL,NULL,3273,0,9,NULL,NULL,15,True
sewellu01,1,0,1631,20,1393,NULL,NULL,5522,0,3,NULL,NULL,23,False
rolfere01,4,7,1175,69,1394,NULL,NULL,1336,0,33,NULL,NULL,30,False
simmoal01,3,23,2215,307,2927,NULL,NULL,5000,6,24,NULL,NULL,39,True
selkige01,2,0,846,108,810,NULL,NULL,1559,2,18,NULL,NULL,29,False
sistisi01,0,0,1016,27,732,NULL,NULL,1600,0,0,NULL,NULL,0,False
slaugen01,10,12,2380,169,2383,NULL,NULL,3925,3,23,NULL,NULL,44,True
schoere01,10,2,2216,84,2449,NULL,NULL,5045,0,21,NULL,NULL,41,True
robinbr01,18,32,2896,268,2848,NULL,NULL,2712,5,44,NULL,NULL,39,True
robinfr02,14,15,2808,586,2943,NULL,NULL,6346,10,30,NULL,NULL,54,True
robinja02,6,10,1382,137,1518,NULL,NULL,4007,2,32,NULL,NULL,88,True
rosenal01,4,5,1044,192,1063,NULL,NULL,1662,0,3,NULL,NULL,2,False
rudijo01,3,6,1547,179,1468,NULL,NULL,4167,3,36,NULL,NULL,120,False
russebi01,3,1,2181,46,1926,NULL,NULL,3104,0,57,NULL,NULL,78,False
ryanmi02,0,0,636,28,370,NULL,NULL,3473,0,0,NULL,NULL,4,False
sanguma01,3,1,1448,65,1500,NULL,NULL,6646,1,29,NULL,NULL,149,False
scottge02,3,8,2034,271,1992,NULL,NULL,15601,0,6,NULL,NULL,70,False
robinbi02,0,0,1472,166,1127,NULL,NULL,3336,0,5,NULL,NULL,14,False
rosepe01,17,16,3562,160,4256,NULL,NULL,12394,5,86,NULL,NULL,253,False
simmote01,8,4,2456,248,2472,NULL,NULL,10544,3,11,NULL,NULL,87,True
simsdu01,0,0,843,100,580,NULL,NULL,4206,0,3,NULL,NULL,16,False
singlke01,3,2,2082,246,2029,NULL,NULL,2684,0,19,NULL,NULL,14,False
samueju01,3,2,1720,161,1578,NULL,NULL,3572,0,0,NULL,NULL,NULL,False
sandbry01,10,25,2164,282,2386,NULL,NULL,3892,1,15,NULL,NULL,21,True
saxst01,5,3,1769,54,1949,NULL,NULL,3617,0,24,NULL,NULL,43,False
schmimi01,12,33,2404,548,2234,NULL,NULL,2836,4,33,NULL,NULL,36,True
scottto01,0,0,991,17,699,NULL,NULL,1803,0,3,NULL,NULL,11,False
speaktr01,0,27,2792,117,3514,0,0,6935,0,22,NULL,NULL,49,True
smithsh01,0,0,381,6,165,428,114,92,0,1,5,1,3,False
spahnwa01,16,16,783,35,363,2583,363,222,0,4,32,4,3,True
splitpa01,0,0,430,0,22,1057,166,125,0,0,11,2,0,False
smithle02,7,7,1023,1,3,1251,71,52,0,0,7,0,1,True
sotoma01,3,0,303,1,70,1449,100,95,0,0,1,0,0,False
stahlja01,0,0,982,31,894,NULL,NULL,8731,0,8,NULL,NULL,76,False
steinha01,0,0,1648,27,1578,NULL,NULL,2429,0,19,NULL,NULL,18,False
southbi01,0,0,1192,52,1296,NULL,NULL,2445,1,10,NULL,NULL,9,True
stengca01,0,0,1277,60,1219,NULL,NULL,2171,2,11,NULL,NULL,18,True
smithea02,0,3,863,46,686,NULL,NULL,2117,0,11,NULL,NULL,51,False
stephri01,0,0,1309,63,1515,NULL,NULL,2289,0,14,NULL,NULL,17,False
stanked01,3,2,1259,29,1154,NULL,NULL,3118,0,13,NULL,NULL,40,False
stephve01,8,7,1720,247,1859,NULL,NULL,2732,0,5,NULL,NULL,9,False
snidedu01,8,6,2143,407,2116,NULL,NULL,4099,11,38,NULL,NULL,96,True
smithre06,7,2,1987,314,2020,NULL,NULL,5186,6,25,NULL,NULL,52,False
speiech01,3,1,2260,112,1759,NULL,NULL,3314,1,14,NULL,NULL,37,False
spencji01,1,2,1553,146,1227,NULL,NULL,9920,0,3,NULL,NULL,33,False
stahlla01,0,0,730,36,400,NULL,NULL,992,0,2,NULL,NULL,NULL,False
stanlmi01,0,4,1517,117,1243,NULL,NULL,3688,0,8,NULL,NULL,23,False
stargwi01,7,12,2360,475,2232,NULL,NULL,9278,7,37,NULL,NULL,171,True
staubru01,6,1,2951,292,2716,NULL,NULL,6572,4,14,NULL,NULL,15,False
stewaji01,0,0,777,8,336,NULL,NULL,628,0,0,NULL,NULL,0,False
