playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,eligible,class
carrocl02,2,1,731,1,27,681,96,60,1,True
champbi01,0,0,204,1,14,360,34,64,0,False
chancde01,2,3,406,0,44,1534,128,111,1,False
chartpe01,0,0,25,0,1,37,0,7,0,False
chavene01,0,0,2,0,0,3,1,1,0,False
chlupbo01,0,0,15,0,0,11,0,1,0,False
choatdo01,0,0,4,0,0,7,0,0,0,False
churcle01,0,0,4,0,0,3,0,0,0,False
ciminpe01,0,0,86,0,5,139,5,4,0,False
ciscoga01,0,0,193,0,21,325,25,43,0,False
clarkri01,0,0,97,0,13,236,19,30,0,False
clemola01,0,0,19,1,2,23,2,2,0,False
clevere01,0,0,428,0,49,930,105,121,1,False
clonito01,0,0,366,11,119,1120,113,114,1,False
clostal01,0,0,21,0,0,26,2,1,0,False
brownsc01,0,0,10,0,0,7,1,0,0,False
brownst02,0,0,15,0,0,28,2,4,0,False
brownto04,0,0,6,0,0,8,0,2,0,False
bruhemi01,0,0,27,0,3,56,4,11,0,False
brunoto01,0,0,69,0,2,80,7,6,0,False
brusswa01,0,0,340,0,3,273,28,36,0,False
burkest01,0,0,24,0,0,22,0,4,0,False
burnsbr01,1,0,193,0,0,734,70,17,0,False
burnssh01,0,0,19,0,0,18,2,0,0,False
burrira01,0,0,490,1,76,1065,108,157,1,False
burtoji01,0,0,30,0,0,42,1,2,0,False
busketo01,0,0,258,0,0,212,21,34,0,False
butchjo01,0,0,164,0,0,363,36,80,0,False
butersa01,0,0,359,8,182,1,0,1384,0,False
byrdje01,0,0,17,0,0,40,2,9,0,False
bystrma01,0,0,84,0,18,258,29,32,0,False
callabe01,0,0,4,0,0,2,1,0,0,False
calvema01,0,0,28,0,0,19,3,7,0,False
camacer01,0,0,193,0,0,159,10,10,1,False
campbbi02,1,4,700,0,4,864,83,119,1,True
campbda02,0,0,118,0,1,87,4,6,0,False
campeca01,0,0,3,0,0,9,1,0,0,False
campri01,0,0,414,1,13,407,56,86,0,False
candejo01,1,0,603,1,104,1673,177,58,1,True
candito01,0,0,453,0,35,1735,151,230,1,True
caneijo01,0,0,8,0,0,17,2,1,0,False
capildo01,0,0,138,0,7,178,12,13,0,False
cappuge01,0,0,35,0,0,32,1,1,0,False
carmado01,0,0,342,0,12,598,53,36,0,False
carroto02,0,0,28,0,4,51,8,6,0,False
caskecr01,0,0,9,0,0,6,0,1,0,False
castibo01,0,0,252,0,6,434,38,56,0,False
castima01,0,0,236,3,174,2,0,189,0,False
castrbi01,0,0,303,0,0,203,31,42,0,False
catoke01,0,0,12,0,2,15,1,2,0,False
caudibi01,1,0,445,0,5,620,35,28,0,False
ceronri01,0,1,1329,59,998,1,0,6555,1,False
chambcr01,0,0,15,0,0,33,4,5,0,False
cheadda01,0,0,2,0,0,2,0,0,0,False
cheveto01,0,0,4,0,0,7,0,0,0,False
chifffl01,0,0,81,0,0,83,5,8,0,False
chrisga01,0,0,30,0,0,20,3,2,0,False
chrisla01,0,0,243,11,64,781,83,85,1,False
chrismi01,0,0,29,0,1,46,3,3,0,False
clancji01,1,0,472,0,9,1422,140,185,1,False
clarkbr01,0,0,187,0,0,259,20,26,0,False
clayke01,0,0,111,0,0,129,10,31,0,False
clearma01,2,0,481,0,0,804,71,49,1,False
clydeda01,0,0,85,0,0,228,18,16,0,False
brownto05,1,0,324,2,95,1000,123,78,1,True
brummgr01,0,0,13,0,0,30,4,5,0,False
brydetr01,0,0,16,0,0,25,2,2,0,False
buchabo01,0,0,16,0,0,6,1,1,0,False
buicede01,0,0,96,0,0,157,9,7,0,False
bulliji01,0,0,188,4,31,392,34,72,0,False
burbada01,0,0,511,3,26,1398,115,137,1,False
